Chemical Name,CASRN,Exposure Route,Assessment Type,Critical Effect or Tumor Type,WOE Characterization,Toxicity Value Type,Toxicity Value
Pydrin,51630-58-1,Oral,Noncancer,Neurological dysfunction,n/a,RfD,2.5x10-2 mg/kg-day
Pyrene,129-00-0,Oral,Noncancer,"Kidney effects (renal tubular pathology, decreased kidney weights)",n/a,RfD,3x10-2 mg/kg-day
Pyridine,110-86-1,Oral,Noncancer,Increased liver weight,n/a,RfD,1x10-3 mg/kg-day
Quinalphos,13593-03-8,Oral,Noncancer,No adverse effects reported,n/a,RfD,5x10-4 mg/kg-day
Quinoline,91-22-5,Oral,Cancer,Hepatic hemangioendotheliomas or hemangiosarcomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,3 per mg/kg-day
Resmethrin,10453-86-8,Oral,Noncancer,Reproductive toxicity,n/a,RfD,3x10-2 mg/kg-day
Rotenone,83-79-4,Oral,Noncancer,Reduced pup weight,n/a,RfD,4x10-3 mg/kg-day
Savey,78587-05-0,Oral,Noncancer,Hypertrophy of adrenal cortex (both sexes) hematologic effects (males),n/a,RfD,2.5x10-2 mg/kg-day
Selenious acid,7783-00-8,Oral,Noncancer,Clinical selenosis,n/a,RfD,5x10-3 mg/kg-day
Selenium and Compounds,7782-49-2,Oral,Noncancer,Clinical selenosis,n/a,RfD,5x10-3 mg/kg-day
Sethoxydim,74051-80-2,Oral,Noncancer,Mild anemia in males,n/a,RfD,9x10-2 mg/kg-day
Silver,7440-22-4,Oral,Noncancer,Argyria,n/a,RfD,5x10-3 mg/kg-day
Silver cyanide,506-64-9,Oral,Noncancer,"Weight loss, thyroid effects, and myelin degeneration",n/a,RfD,1x10-1 mg/kg-day
Simazine,122-34-9,Oral,Noncancer,Reduction in weight gains hematological changes in females,n/a,RfD,5x10-3 mg/kg-day
Sodium azide,26628-22-8,Oral,Noncancer,"Clinical sign (e.g., hunched postures) and reduced body weight",n/a,RfD,4x10-3 mg/kg-day
Sodium cyanide,143-33-9,Oral,Noncancer,Decreased cauda epididymis weight in male F344/N rats. The RfD for potassium cyanide is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,n/a,RfD,1x10-3 mg/kg-day
Sodium diethyldithiocarbamate,148-18-5,Oral,Noncancer,Reduced body weight,n/a,RfD,3x10-2 mg/kg-day
Sodium fluoroacetate,62-74-8,Oral,Noncancer,Increased heart weight in females and males; decreased testis weight and altered spermatogenesis in males.,n/a,RfD,2x10-5 mg/kg-day
Strontium,7440-24-6,Oral,Noncancer,Rachitic bone,n/a,RfD,6x10-1 mg/kg-day
Strychnine,57-24-9,Oral,Noncancer,Toxicity/histopathology,n/a,RfD,3x10-4 mg/kg-day
Styrene,100-42-5,Oral,Noncancer,Red blood cell and liver effects,n/a,RfD,2x10-1 mg/kg-day
Styrene,100-42-5,Inhalation,Noncancer,CNS effects,n/a,RfC,1 mg/m3
Systhane,88671-89-0,Oral,Noncancer,Testicular atrophy,n/a,RfD,2.5x10-2 mg/kg-day
Tebuthiuron,34014-18-1,Oral,Noncancer,Depressed body weight gain in F1 females,n/a,RfD,7x10-2 mg/kg-day
Terbacil,5902-51-2,Oral,Noncancer,Increase in thyroid/body weight ratio; slight increase in liver weights; elevated alkaline phosphatase,n/a,RfD,1.3x10-2 mg/kg-day
Terbutryn,886-50-0,Oral,Noncancer,Hematologic effects in females,n/a,RfD,1x10-3 mg/kg-day
"2,2',4,4'-Tetrabromodiphenyl ether (BDE-47)",5436-43-1,Oral,Noncancer,Neurobehavioral effects,n/a,RfD,1x10-4 mg/kg-day
"1,2,4,5-Tetrachlorobenzene",95-94-3,Oral,Noncancer,Kidney lesions,n/a,RfD,3x10-4 mg/kg-day
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,Oral,Noncancer,Decreased sperm count and motility in men exposed to TCDD as boys / Increased TSH in neonates,n/a,RfD,7x10-10 mg/kg-day
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,Oral,Noncancer,Decreased sperm count and motility in men exposed to TCDD as boys / Increased TSH in neonates,n/a,RfD,7x10-10 mg/kg-day
"1,1,1,2-Tetrachloroethane",630-20-6,Inhalation,Cancer,Hepatocellular adenoma or carcinoma,C (Possible human carcinogen) (1986 guidelines),Inhalation Unit Risk,7.4x10-6 per ｵg/m3
"1,1,1,2-Tetrachloroethane",630-20-6,Oral,Noncancer,"Mineralization of the kidneys in males, hepatic clear cell change in females",n/a,RfD,3x10-2 mg/kg-day
"1,1,1,2-Tetrachloroethane",630-20-6,Oral,Cancer,Hepatocellular adenoma or carcinoma,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,2.6x10-2 per mg/kg-day
"1,1,2,2-Tetrachloroethane",79-34-5,Oral,Cancer,hepatocellular carcinomas,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,2x10-1 per mg/kg-day
"1,1,2,2-Tetrachloroethane",79-34-5,Oral,Noncancer,Increased relative liver weight in rats,n/a,RfD,2x10-2 mg/kg-day (Chronic)
"1,1,2,2-Tetrachloroethane",79-34-5,Oral,Noncancer,Increased relative liver weight in rats,n/a,RfD,5x10-2 mg/kg-day (Subchronic)
Tetrachloroethylene (Perchloroethylene),127-18-4,Oral,Noncancer,(See Note),n/a,RfD,6x10-3 mg/kg-day
Tetrachloroethylene (Perchloroethylene),127-18-4,Inhalation,Noncancer,(See Note),n/a,RfC,4x10-2 mg/m3
Tetrachloroethylene (Perchloroethylene),127-18-4,Inhalation,Cancer,Hepatocellular adenomas or carcinomas,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,0
Tetrachloroethylene (Perchloroethylene),127-18-4,Oral,Cancer,Hepatocellular adenomas or carcinomas,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,2.1x10-3 per mg/kg-day
"2,3,4,6-Tetrachlorophenol",58-90-2,Oral,Noncancer,Increased liver weights and centrilobular hypertrophy,n/a,RfD,3x10-2 mg/kg-day
Tetrachlorovinphos,961-11-5,Oral,Noncancer,"Reduced body weight gain, increased liver and kidney weights, and RBC ChE inhibition",n/a,RfD,3x10-2 mg/kg-day
Tetraethyl lead,78-00-2,Oral,Noncancer,Histopathology of liver and thymus,n/a,RfD,1x10-7 mg/kg-day
Tetraethyldithiopyrophosphate,3689-24-5,Oral,Noncancer,Depressed RBC and plasma cholinesterase activity,n/a,RfD,5x10-4 mg/kg-day
"1,1,1,2-Tetrafluoroethane",811-97-2,Inhalation,Noncancer,Leydig cell hyperplasia,n/a,RfC,8x101 mg/m3
Tetrahydrofuran,109-99-9,Oral,Noncancer,Decreased pup body weight gain,n/a,RfD,9x10-1 mg/kg-day
Tetrahydrofuran,109-99-9,Inhalation,Noncancer,"Increased liver weight and centrilobular cytomegaly, CNS effects (narcosis)",n/a,RfC,2 mg/m3
Thiobencarb,28249-77-6,Oral,Noncancer,"Decrease in body weight, increase in BUN",n/a,RfD,1x10-2 mg/kg-day
Thiophanate-methyl,23564-05-8,Oral,Noncancer,"Decreased body weight, decreased spermatogenesis, and histological evidence of hyperthyroidism",n/a,RfD,8x10-2 mg/kg-day
Thiram,137-26-8,Oral,Noncancer,Neurotoxicity,n/a,RfD,5x10-3 mg/kg-day
Toluene,108-88-3,Inhalation,Noncancer,Neurological effects in occupationally-exposed workers,n/a,RfC,5 mg/m3
Toluene,108-88-3,Oral,Noncancer,Increased kidney weight,n/a,RfD,8x10-2 mg/kg-day
"2,4-/2,6-Toluene diisocyanate mixture (TDI)",26471-62-5,Inhalation,Noncancer,Chronic lung-function decline,n/a,RfC,7x10-5 mg/m3
Toxaphene,8001-35-2,Inhalation,Cancer,Hepatocellular carcinomas and neoplastic nodules,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,3.2x10-4 per ｵg/m3
Toxaphene,8001-35-2,Oral,Cancer,Hepatocellular carcinomas and neoplastic nodules,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.1 per mg/kg-day
Tralomethrin,66841-25-6,Oral,Noncancer,Decreased body weight gain in males increased food and water consumption in males and females,n/a,RfD,7.5x10-3 mg/kg-day
Triallate,2303-17-5,Oral,Noncancer,"Increased hemosiderin deposition, serum alkaline phosphatase, and liver weight in females",n/a,RfD,1.3x10-2 mg/kg-day
Triasulfuron,82097-50-5,Oral,Noncancer,Centrilobular hepatocytomegaly in males,n/a,RfD,1x10-2 mg/kg-day
"1,2,4-Tribromobenzene",615-54-3,Oral,Noncancer,Increased liver-to-body weight ratio and hepatic microsomal enzyme induction,n/a,RfD,5x10-3 mg/kg-day
Tributyltin oxide (TBTO),56-35-9,Oral,Noncancer,Immunosuppression,n/a,RfD,3x10-4 mg/kg-day
"1,1,2-Trichloro-1,2,2-trifluoroethane (CFC-113)",76-13-1,Oral,Noncancer,Psychomotor impairment,n/a,RfD,3x101 mg/kg-day
Trichloroacetic acid,76-03-9,Oral,Noncancer,Hepatocellular necrosis,n/a,RfD,2x10-2 mg/kg-day
Trichloroacetic acid,76-03-9,Oral,Cancer,Hepatocellular adenomas or carcinomas,Suggestive evidence of carcinogenic potential (2005 guidelines),Oral Slope Factor,7x10-2 per mg/kg-day
"1,2,4-Trichlorobenzene",120-82-1,Oral,Noncancer,Increased adrenal weights; vacuolization of zona fasciculata in the cortex,n/a,RfD,1x10-2 mg/kg-day
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Performance on neurobehavioral tests,n/a,RfC,9 mg/m3 (Acute: 1 hour)
"1,1,1-Trichloroethane",71-55-6,Oral,Noncancer,Reduced body weight,n/a,RfD,2 mg/kg-day (Chronic)
"1,1,1-Trichloroethane",71-55-6,Oral,Noncancer,Reduced body weight,n/a,RfD,7 mg/kg-day (Subchronic)
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Performance on neurobehavioral tests,n/a,RfC,7 mg/m3 (Acute: 4 hours)
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Liver histopathologic changes,n/a,RfC,5 mg/m3 (Chronic)
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Liver histopathologic changes,n/a,RfC,5 mg/m3 (Subchronic)
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Performance on neurobehavioral tests,n/a,RfC,7 mg/m3 (Acute: 8 hours)
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Performance on neurobehavioral tests,n/a,RfC,6 mg/m3 (Acute: 24 hours)
"1,1,1-Trichloroethane",71-55-6,Inhalation,Noncancer,Performance on neurobehavioral tests,n/a,RfC,5 mg/m3 (Short-term)
"1,1,2-Trichloroethane",79-00-5,Inhalation,Cancer,Hepatocellular carcinoma,C (Possible human carcinogen) (1986 guidelines),Inhalation Unit Risk,1.6x10-5 per ｵg/m3
"1,1,2-Trichloroethane",79-00-5,Oral,Noncancer,Clinical serum chemistry (effects on erythrocytes and depressed humoral immune status),n/a,RfD,4x10-3 mg/kg-day
"1,1,2-Trichloroethane",79-00-5,Oral,Cancer,Hepatocellular carcinoma,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,5.7x10-2 per mg/kg-day
Trichloroethylene,79-01-6,Oral,Cancer,"Renal cell carcinoma, non-Hodgkin's lymphoma, and liver tumors",Carcinogenic to humans (2005 guidelines),Oral Slope Factor,4.6 x10-2 per mg/kg-day
Trichloroethylene,79-01-6,Inhalation,Cancer,"Renal cell carcinoma, non-Hodgkin's lymphoma, and liver tumors",Carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,4.1x10-6 per ｵg/m3
Trichloroethylene,79-01-6,Oral,Noncancer,(See Note),n/a,RfD,5x10-4 mg/kg-day
Trichloroethylene,79-01-6,Inhalation,Noncancer,(See Note),n/a,RfC,2x10-3 mg/m3
Trichlorofluoromethane,75-69-4,Oral,Noncancer,Survival and histopathology (pleuritis and pericarditis),n/a,RfD,3x10-1 mg/kg-day
"2,4,5-Trichlorophenol",95-95-4,Oral,Noncancer,Liver and kidney pathology,n/a,RfD,1x10-1 mg/kg-day
"2,4,6-Trichlorophenol",88-06-2,Oral,Cancer,Leukemia,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.1x10-2 per mg/kg-day
"2,4,6-Trichlorophenol",88-06-2,Inhalation,Cancer,Leukemia,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,3.1x10-6 per ｵg/m3
"2(2,4,5-Trichlorophenoxy) propionic acid (2,4,5-TP)",93-72-1,Oral,Noncancer,Histopathological changes in liver,n/a,RfD,8x10-3 mg/kg-day
"2,4,5-Trichlorophenoxyacetic acid (2,4,5-T)",93-76-5,Oral,Noncancer,Increased urinary coproporphyrins,n/a,RfD,1x10-2 mg/kg-day
"1,1,2-Trichloropropane",598-77-6,Oral,Noncancer,"Mild lesions in liver, kidney and thyroid",n/a,RfD,5x10-3 mg/kg-day
"1,2,3-Trichloropropane",96-18-4,Oral,Noncancer,Increased absolute liver weight in male rats,n/a,RfD,4x10-3 mg/kg-day
"1,2,3-Trichloropropane",96-18-4,Oral,Cancer,"alimentary system squamous cell neoplasms, liver hepatocellular adenomas or carcinomas, Harderian gland adenomas, uterine/cervix adenomas or carcinomas",Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,3x101 per mg/kg-day
"1,2,3-Trichloropropane",96-18-4,Inhalation,Noncancer,peribronchial lymphoid hyperplasia in male rats,n/a,RfC,3x10-4 mg/m3
Tridiphane,58138-08-2,Oral,Noncancer,Decreased fertility index and depressed body weight of dams,n/a,RfD,3x10-3 mg/kg-day
Triethylamine,121-44-8,Inhalation,Noncancer,Inflammation of the nasal passage,n/a,RfC,7x10-3 mg/m3
Trifluralin,1582-09-8,Oral,Cancer,"Combined renal pelvis carcinomas, urinary bladder papillomas and/or thyroid adenomas and carcinomas",C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,7.7x10-3 per mg/kg-day
Trifluralin,1582-09-8,Oral,Noncancer,Increased liver weights; increase in methemoglobin,n/a,RfD,7.5x10-3 mg/kg-day
"1,2,3-Trimethylbenzene",526-73-8,Inhalation,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfC,6x10-2 mg/m3 (Chronic)
"1,2,3-Trimethylbenzene",526-73-8,Oral,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfD,4x10-2 mg/kg-day (Subchronic)
"1,2,3-Trimethylbenzene",526-73-8,Oral,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfD,1x10-2 mg/kg-day (Chronic)
"1,2,3-Trimethylbenzene",526-73-8,Inhalation,Noncancer,Inflammatory lung lesions,n/a,RfC,2x10-1 mg/m3
"1,2,3-Trimethylbenzene",526-73-8,Inhalation,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfC,2x10-1 mg/m3 (Subchronic)
"1,2,3-Trimethylbenzene",526-73-8,Inhalation,Noncancer,Decreased segmented neutrophils,n/a,RfC,6x10-2 mg/m3
"1,2,4-Trimethylbenzene",95-63-6,Inhalation,Noncancer,Inflammatory lung lesions,n/a,RfC,2x10-1 mg/m3
"1,2,4-Trimethylbenzene",95-63-6,Inhalation,Noncancer,Decreased fetal weight,n/a,RfC,4 mg/m3
"1,2,4-Trimethylbenzene",95-63-6,Inhalation,Noncancer,Decreased maternal weight,n/a,RfC,3 mg/m3
"1,2,4-Trimethylbenzene",95-63-6,Oral,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfD,1x10-2 mg/kg-day (Chronic)
"1,2,4-Trimethylbenzene",95-63-6,Oral,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfD,4x10-2 mg/kg-day (Subchronic)
"1,2,4-Trimethylbenzene",95-63-6,Inhalation,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfC,6x10-2 mg/m3 (Chronic)
"1,2,4-Trimethylbenzene",95-63-6,Inhalation,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfC,2x10-1 mg/m3 (Subchronic)
"1,2,4-Trimethylbenzene",95-63-6,Inhalation,Noncancer,Decreased clotting time,n/a,RfC,8x10-2 mg/m3
"1,3,5-Trimethylbenzene",108-67-8,Inhalation,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfC,2x10-1 mg/m3 (Subchronic)
"1,3,5-Trimethylbenzene",108-67-8,Oral,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfD,1x10-2 mg/kg-day (Chronic)
"1,3,5-Trimethylbenzene",108-67-8,Inhalation,Noncancer,Decreased fetal weight,n/a,RfC,4 mg/m3
"1,3,5-Trimethylbenzene",108-67-8,Inhalation,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfC,6x10-2 mg/m3 (Chronic)
"1,3,5-Trimethylbenzene",108-67-8,Oral,Noncancer,Decreased pain sensitivity in male Wistar rats,n/a,RfD,4x10-2 mg/kg-day (Subchronic)
"1,3,5-Trimethylbenzene",108-67-8,Inhalation,Noncancer,Decreased maternal weight,n/a,RfC,4x10-1 mg/m3
"1,3,5-Trinitrobenzene",99-35-4,Oral,Noncancer,Methemoglobinemia and spleen-erythroid cell hyperplasia,n/a,RfD,3x10-2 mg/kg-day
"2,4,6-Trinitrotoluene (TNT)",118-96-7,Oral,Noncancer,Liver effects,n/a,RfD,5x10-4 mg/kg-day
"2,4,6-Trinitrotoluene (TNT)",118-96-7,Oral,Cancer,"Urinary bladder, transitional cell papilloma and transitional squamous cell carcinomas",C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,3.0x10-2 per mg/kg-day
"Uranium, soluble salts",Various,Oral,Noncancer,Initial body weight loss moderate nephrotoxicity,n/a,RfD,3x10-3 mg/kg-day
Vanadium pentoxide,1314-62-1,Oral,Noncancer,Decreased hair cystine,n/a,RfD,9x10-3 mg/kg-day
Vernam,1929-77-7,Oral,Noncancer,Decreased body weight,n/a,RfD,1x10-3 mg/kg-day
Vinclozolin,50471-44-8,Oral,Noncancer,Organ weight changes (adrenal and kidney),n/a,RfD,2.5x10-2 mg/kg-day
Vinyl acetate,108-05-4,Inhalation,Noncancer,Nasal epithelial lesions,n/a,RfC,2x10-1 mg/m3
Vinyl bromide,593-60-2,Inhalation,Noncancer,"Hypertrophy, basophilic and eosinophilic foci, in the liver",n/a,RfC,3x10-3 mg/m3
Vinyl chloride,75-01-4,Inhalation,Cancer,"Liver angiosarcomas, angiomas, hepatomas, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,8.8x10-6 per ｵg/m3 (Continuous lifetime exposure from birth)
Vinyl chloride,75-01-4,Oral,Cancer,"Total of liver angiosarcoma, hepatocellular carcinoma, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,7.2x10-1 per mg/kg-day (Continuous lifetime exposure during adulthood)
Vinyl chloride,75-01-4,Oral,Cancer,"Total of liver angiosarcoma, hepatocellular carcinoma, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,7.5x10-1 per mg/kg-day (Continuous lifetime exposure during adulthood)
Vinyl chloride,75-01-4,Oral,Cancer,"Total of liver angiosarcoma, hepatocellular carcinoma, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,1.4 per mg/kg-day (Continuous lifetime exposure from birth)
Vinyl chloride,75-01-4,Inhalation,Cancer,"Liver angiosarcomas, angiomas, hepatomas, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,4.4x10-6 per ｵg/m3 (Continuous lifetime exposure during adulthood)
Vinyl chloride,75-01-4,Inhalation,Cancer,"Liver angiosarcomas, angiomas, hepatomas, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,8.8x10-6 per ｵg/m3 (Continuous lifetime exposure from birth)
Vinyl chloride,75-01-4,Oral,Cancer,"Total of liver angiosarcoma, hepatocellular carcinoma, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,1.5 per mg/kg-day (Continuous lifetime exposure from birth)
Vinyl chloride,75-01-4,Oral,Noncancer,Liver cell polymorphism,n/a,RfD,3x10-3 mg/kg-day
Vinyl chloride,75-01-4,Inhalation,Noncancer,Liver cell polymorphism,n/a,RfC,1x10-1 mg/m3
Vinyl chloride,75-01-4,Inhalation,Cancer,"Liver angiosarcomas, angiomas, hepatomas, and neoplastic nodules",A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,4.4x10-6 per ｵg/m3 (Continuous lifetime exposure during adulthood)
Warfarin,81-81-2,Oral,Noncancer,Increased prothrombin time,n/a,RfD,3x10-4 mg/kg-day
White phosphorus,7723-14-0,Oral,Noncancer,Parturition mortality; forelimb hair loss,n/a,RfD,2x10-5 mg/kg-day
Xylenes,1330-20-7,Oral,Noncancer,"Decreased body weight, increased mortality",n/a,RfD,2x10-1 mg/kg-day
Xylenes,1330-20-7,Inhalation,Noncancer,Impaired motor coordination (decreased rotarod performance),n/a,RfC,1x10-1 mg/m3
Zinc and Compounds,7440-66-6,Oral,Noncancer,"Decreases in erythrocyte Cu, Zn-superoxide dismutase (ESOD) activity in healthy adult male and female volunteers",n/a,RfD,3x10-1 mg/kg-day
Zinc cyanide,557-21-1,Oral,Noncancer,"Weight loss, thyroid effects, and myelin degeneration",n/a,RfD,5x10-2 mg/kg-day
Zinc phosphide,1314-84-7,Oral,Noncancer,Reduction of food intake and body weight,n/a,RfD,3x10-4 mg/kg-day
Zineb,12122-67-7,Oral,Noncancer,Thyroid hyperplasia,n/a,RfD,5x10-2 mg/kg-day
n-Butanol,71-36-3,Oral,Noncancer,Hypoactivity and ataxia,n/a,RfD,1x10-1 mg/kg-day
tert-Butyl Alcohol (tBA),75-65-0,Inhalation,Noncancer,Increased severity of nephropathy,n/a,RfC,5 mg/m3
tert-Butyl Alcohol (tBA),75-65-0,Oral,Cancer,"Renal adenomas and carcinomas, thyroid adenomas",Suggestive evidence of carcinogenic potential (2005 guidelines),Oral Slope Factor,5x10-4 per mg/kg-day
tert-Butyl Alcohol (tBA),75-65-0,Oral,Noncancer,Increased severity of nephropathy,n/a,RfD,4x10-1 mg/kg-day
